"","Year","E.Gr.Enrollment.KDE","Diploma.KDE","E.Gr.Ratio.KDE","E.Gr.Enrollment.NCES","Diploma.NCES","E.Gr.Ratio.NCES"
"1999",1999,48938,NA,NA,48214,36775,NA
"2000",2000,49037,NA,NA,47707,36957,NA
"2001",2001,48671,NA,NA,47019,36337,NA
"2002",2002,50473,36198,NA,48934,37654,NA
"2003",2003,51700,36259,0.740917078752708,50186,37787,0.783735014726013
"2004",2004,52551,36692,0.748251320431511,51122,38202,0.800762990756073
"2005",2005,52221,36808,0.75626142877689,50692,38644,0.821880516386992
"2006",2006,51726,38211,0.75705822915222,50300,39086,0.798749335840111
"2007",2007,51201,39836,0.770522243713733,49708,39330,0.783684692942255
"2008",2008,51131,40819,0.776750204563186,49657,41645,0.814619928797778
"2009",2009,50512,41346,0.791750445223186,44224,NA,NA
"2010",2010,50275,41878,0.809612187294591,48519,NA,NA
"2011",2011,51348,41546,0.811429464268276,49274,NA,NA
"2012",2012,51391,42058,0.822553832313078,NA,NA,NA
"2013",2013,52328,NA,NA,NA,NA,NA
