"","DISTNAME","Grad.w.Diploma.in.4.years.2002.KDE","Grad.w.Diploma.in.4.years.2003.KDE","Grad.w.Diploma.in.4.years.2004.KDE","Grad.w.Diploma.in.4.years.2005.KDE","Grad.w.Diploma.in.4.years.2006.KDE"
"2","Adair County","141","156","158","155","165"
"4","Allen County","194","179","185","201","201"
"6","Anderson County","226","228","230","235","252"
"8","Ashland Independent","184","240","197","215","198"
"10","Augusta Independent","16","24","19","24","20"
"12","Ballard County","65","94","95","96","82"
"14","Barbourville Independent","44","53","51","36","40"
"16","Bardstown Independent","103","102","75","116","98"
"18","Barren County","218","237","232","230","222"
"20","Bath County","89","86","82","114","92"
"22","Beechwood Independent","81","78","87","80","68"
"24","Bell County","171","178","177","180","178"
"26","Bellevue Independent","47","41","53","62","67"
"28","Berea Independent","61","66","64","71","60"
"32","Boone County","899","804","877","839","1031"
"34","Bourbon County","167","167","161","171","177"
"36","Bowling Green Independent","207","199","192","191","214"
"38","Boyd County","229","200","214","199","223"
"40","Boyle County","178","181","205","159","212"
"42","Bracken County","75","78","88","86","73"
"44","Breathitt County","109","106","154","114","137"
"46","Breckinridge County","172","189","161","179","188"
"50","Bullitt County","627","599","624","625","656"
"52","Burgin Independent","21","29","23","35","28"
"54","Butler County","141","130","131","142","153"
"56","Caldwell County","146","130","130","141","124"
"58","Calloway County","189","210","222","187","207"
"60","Campbell County","303","316","314","299","308"
"62","Campbellsville Independent","76","72","80","82","61"
"64","Carlisle County","58","49","51","45","51"
"66","Carroll County","89","82","106","94","113"
"69","Carter County","262","225","239","286","270"
"71","Casey County","134","143","140","137","155"
"73","Caverna Independent","41","57","52","51","40"
"76","Christian County","475","500","412","421","481"
"78","Clark County","280","261","272","297","342"
"80","Clay County","190","176","193","198","217"
"82","Clinton County","64","87","83","76","96"
"84","Cloverport Independent","19","13","20","14","16"
"86","Corbin Independent","158","157","151","161","154"
"88","Covington Independent","183","189","189","155","161"
"90","Crittenden County","98","87","80","99","75"
"92","Cumberland County","76","50","60","68","73"
"94","Danville Independent","98","93","88","113","111"
"97","Daviess County","736","710","756","696","738"
"99","Dawson Springs Independent","32","55","34","39","31"
"101","Dayton Independent","36","54","45","67","64"
"103","Edmonson County","138","109","123","118","139"
"105","Elizabethtown Independent","167","140","165","170","139"
"107","Elliott County","76","61","79","59","69"
"109","Eminence Independent","18","32","35","26","28"
"111","Erlanger-Elsmere Independent","94","117","103","106","114"
"113","Estill County","142","152","120","133","145"
"115","Fairview Independent","43","48","55","61","60"
"121","Fayette County","1660","1783","1797","1841","1911"
"123","Fleming County","135","129","132","152","147"
"128","Floyd County","395","362","405","397","376"
"130","Fort Thomas Independent","180","199","190","185","186"
"132","Frankfort Independent","68","59","81","71","77"
"135","Franklin County","336","359","295","333","334"
"137","Fulton County","51","39","54","51","56"
"139","Fulton Independent","37","25","36","22","34"
"141","Gallatin County","50","70","80","79","70"
"143","Garrard County","142","144","111","122","139"
"145","Glasgow Independent","109","116","119","90","115"
"147","Grant County","212","164","212","222","197"
"149","Graves County","250","232","264","273","309"
"151","Grayson County","270","249","239","266","231"
"153","Green County","107","117","112","112","120"
"155","Greenup County","190","168","182","181","198"
"157","Hancock County","83","87","104","100","95"
"161","Hardin County","872","840","831","891","911"
"165","Harlan County","327","261","259","280","241"
"167","Harlan Independent","51","61","53","40","57"
"169","Harrison County","210","204","231","187","216"
"171","Hart County","140","153","158","148","156"
"173","Hazard Independent","77","75","67","68","68"
"175","Henderson County","424","448","412","410","433"
"177","Henry County","135","121","139","113","116"
"179","Hickman County","45","46","47","50","35"
"182","Hopkins County","432","419","396","431","424"
"184","Jackson County","130","140","116","116","127"
"186","Jackson Independent","28","31","29","20","16"
"208","Jefferson County","4608","4918","4947","4688","4810"
"210","Jenkins Independent","38","32","25","34","46"
"213","Jessamine County","333","343","367","367","363"
"215","Johnson County","211","202","196","217","199"
"219","Kenton County","753","750","793","844","856"
"222","Knott County","152","169","160","150","130"
"225","Knox County","223","244","256","247","241"
"227","LaRue County","152","133","120","141","149"
"230","Laurel County","440","428","435","507","488"
"232","Lawrence County","164","136","159","154","161"
"234","Lee County","70","72","51","78","73"
"236","Leslie County","147","127","106","122","107"
"238","Letcher County","199","199","191","170","193"
"240","Lewis County","143","130","135","127","138"
"242","Lincoln County","240","255","252","242","240"
"244","Livingston County","87","60","89","77","95"
"246","Logan County","195","204","213","244","218"
"248","Ludlow Independent","64","51","68","73","63"
"250","Lyon County","64","66","55","52","70"
"254","Madison County","448","503","499","545","562"
"256","Magoffin County","144","129","95","135","121"
"258","Marion County","172","179","167","167","171"
"260","Marshall County","276","288","265","259","289"
"262","Martin County","151","132","108","119","121"
"264","Mason County","165","168","175","153","191"
"266","Mayfield Independent","80","81","78","78","75"
"270","McCracken County","415","412","438","391","433"
"272","McCreary County","175","214","204","192","252"
"274","McLean County","114","104","111","101","108"
"276","Meade County","323","320","353","353","307"
"278","Menifee County","98","69","76","68","68"
"280","Mercer County","152","125","155","178","203"
"282","Metcalfe County","55","99","82","95","96"
"284","Middlesboro Independent","81","103","105","77","98"
"286","Monroe County","118","124","118","116","113"
"288","Montgomery County","203","230","201","193","232"
"290","Monticello Independent","48","40","40","57","52"
"292","Morgan County","150","133","128","143","139"
"295","Muhlenberg County","348","328","302","307","341"
"297","Murray Independent","118","113","133","143","132"
"299","Nelson County","301","333","295","318","313"
"301","Newport Independent","142","121","104","109","114"
"303","Nicholas County","69","77","73","63","80"
"305","Ohio County","242","251","226","221","252"
"309","Oldham County","612","647","655","674","736"
"311","Owen County","92","106","105","110","118"
"313","Owensboro Independent","222","225","206","178","222"
"315","Owsley County","53","55","48","49","46"
"317","Paducah Independent","159","150","133","155","144"
"319","Paintsville Independent","57","60","75","50","68"
"321","Paris Independent","48","29","44","33","53"
"323","Pendleton County","185","192","152","191","198"
"326","Perry County","200","250","211","231","247"
"332","Pike County","581","594","573","568","636"
"334","Pikeville Independent","75","72","85","83","67"
"336","Pineville Independent","28","29","42","38","29"
"338","Powell County","125","126","150","140","156"
"339","Providence Independent","24","29","32","29",""
"342","Pulaski County","493","459","481","467","476"
"344","Raceland Independent","70","67","59","57","62"
"346","Robertson County","14","25","30","27","23"
"348","Rockcastle County","185","188","189","193","203"
"350","Rowan County","171","173","185","166","179"
"352","Russell County","135","143","177","187","180"
"354","Russell Independent","158","139","162","153","152"
"356","Russellville Independent","85","67","89","68","78"
"358","Scott County","332","290","367","350","403"
"360","Shelby County","304","312","342","314","327"
"362","Silver Grove Independent","15","22","15","14","12"
"364","Simpson County","167","144","160","159","216"
"366","Somerset Independent","91","115","98","104","105"
"368","Spencer County","131","153","140","123","158"
"370","Taylor County","199","156","177","190","162"
"372","Todd County","127","93","110","95","116"
"374","Trigg County","109","103","103","129","119"
"376","Trimble County","92","82","95","87","109"
"378","Union County","147","152","158","142","162"
"380","Walton-Verona Independent","74","63","70","89","80"
"384","Warren County","688","704","727","782","741"
"386","Washington County","140","133","115","116","124"
"388","Wayne County","145","151","128","156","156"
"390","Webster County","137","2","104","125","141"
"392","Whitley County","209","221","247","239","253"
"394","Williamsburg Independent","46","56","65","43","53"
"396","Williamstown Independent","41","36","36","37","59"
"398","Wolfe County","84","85","84","79","66"
"400","Woodford County","245","246","236","268","261"
